Date,Time,Case,Primary Convective Type,Convective Lifecycle,TIMPS ID,TIMPS ID Propagation Speed [m/s],TIMPS ID Propagation Direction (from) [deg],AHI IR (Weighted) Start Lat During Sampling,AHI IR (Weighted) Start Lon During Sampling,AHI IR (Weighted) Start Time for Determining Start Coordinates [UTC],AHI IR (Weighted) End Lat During Sampling,AHI IR (Weighted) End Lon During Sampling,AHI IR (Weighted) End Time for Determining End Coordinates [UTC],Time Between Start/End Coordinates [hrs],TIMPS Notes,Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Weak Stratiform (Onion-ish Profile (Typically On Outer Edge of Storm)),Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Located Over Land,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Type of Sonde,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20190829,234615,1,Isolated,Growing,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,Convective,Clear Near,,,,,No,No,Western Pacific,No,No,,,,Dropsonde,1008.1,12.2,947.5,559.7,,,644.4,3832.3,,,,92.4,,,,,,,,,,,,,,,,,,,,,,5.36,263.9,,,,,,,,,,3832.32,504.8,,
20190829,235222,1,Isolated,Growing,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,Convective,In Precip,,,Yes,,No,No,Western Pacific,No,No,,,,Dropsonde,1008.3,8,984.1,222.4,,,644.2,3826.6,,,,83.7,,,,,,,,,,,,,,,,,,,,,,1.57,245.6,,,,,,,,,,3826.57,502.2,,
20190830,205,1,Isolated,Growing,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,Convective,Clear Near,,,,,Yes,No,Western Pacific,No,No,,,,Dropsonde,1008.9,7.7,1000.7,80.1,563,4926.3,547.5,5150.5,,,,83.3,81.2,,,475.7,,,,963.5,,,,,374.3,,,,943.5,,,,,3.88,213.9,11.27,244.5,,,,,,,,5150.48,499.8,,
20190830,850,1,Isolated,Growing,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,Convective,Clear Near,,,,,No,Yes,Western Pacific,No,No,,,,Dropsonde,1009,14,969.6,367.8,561.5,4949.9,547.5,5157.7,,,,87.1,76.8,,,399.2,,,-3.5,960,,,,,342.8,,,-1.8,939.2,,,,,3.1,183.2,,,,,,,,,,5157.73,498.7,,
20190830,10453,1,Isolated,Mature,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,Stratiform,Clear Near,,,,,Yes,No,Western Pacific,No,No,,,,Dropsonde,1009.2,7.9,940.7,629.4,557.6,5010.9,536.3,5321.2,,,,88.1,77.6,,,438.9,,,-0.7,955.6,,,,,343.9,,,-0.7,935.4,,,,,1.05,193.9,13.12,262.9,,,,,,,,5321.24,502,,
20190830,14139,1,Isolated,Weakening,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,Convective,Clear Near,,,,,No,No,Western Pacific,No,No,,,,Dropsonde,1008.2,7.4,986.2,203.7,549,5130.5,436.9,6920.9,454.4,,,64,69.4,,,90.7,,,-34.6,886.6,,,,,9.2,,,-88.2,867.2,,,,,2.87,68.6,,,,,,,,,,6920.92,500.3,,
20190830,22234,1,Isolated,Weakening,N/A,5.6,47.6,9.41,118.87,0,8.92,118.33,4,4,Not associated with any TIMPS ID,N/A,Clear Near,,,,,No,No,Western Pacific,No,No,,,,Dropsonde,1008.4,7.9,933.4,690.4,,,762.2,2430.3,,,,89.5,,,,,,,,,,,,,,,,,,,,,,6.19,205,,,,,,,,,,2430.31,499.2,,
20190830,43305,2,Isolated,Weakening,N/A,10.8,12,12.86,121.53,3,12.17,121.38,5,2,Not associated with any TIMPS ID,Stratiform,Clear Near,,,,,Yes,Yes,Western Pacific,No,No,,,,Dropsonde,1006.6,8.1,943.1,583.7,,,614.8,4205.7,,,,89.6,,,,,,,,,,,,,,,,,,,,,,2.25,307.5,,,,,,,,,,4205.74,498.4,,
20190830,43805,2,Isolated,Weakening,N/A,10.8,12,12.86,121.53,3,12.17,121.38,5,2,Not associated with any TIMPS ID,Stratiform,Clear Near,,,,,Yes,No,Western Pacific,No,No,,,,Dropsonde,1006.5,8,936.4,646.2,,,631.6,3986,,,,92,,,,,,,,,,,,,,,,,,,,,,0.49,219.9,,,,,,,,,,3985.98,502.1,,
20190831,222,3,Isolated,Weakening,N/A,12.9,54.3,10.37,120.55,23,9.88,119.86,1,2,Not associated with any TIMPS ID,N/A,Clear Near,,,,,No,Yes,Western Pacific,No,Yes,,,,Dropsonde,1007.1,7.8,956.4,464.9,560.3,4947.4,474.7,6263.4,,,,84.7,69.5,,,403.9,,,-3.9,952,,,,,217.1,,,-15.3,913.6,,,,,1.64,21.4,23,331.7,,,,,,,,6263.4,500.4,,
20190831,52601,4,Isolated,Growing,N/A,12,4.4,9.6,122.93,4,8.82,122.87,6,2,Not associated with any TIMPS ID,Stratiform,Clear Near,,,,,Yes,Yes,Western Pacific,No,Yes,,,,Dropsonde,1005.5,5.5,917.2,815,557.2,4982.5,397.5,7619.2,438.8,,,90.6,83.1,73.6,81.2,451.4,622.8,1074.2,0,952.8,,,,,309.3,481.1,790.4,0,932.5,,,,,7.2,339.8,14.07,8.9,12.01,52.6,29.69,18.2,,,,8209.89,500.4,29,24.3
20190904,20409,5,Isolated,Mature,N/A,17.4,83.8,7.15,119.76,2,6.97,118.07,5,3,Not associated with any TIMPS ID,N/A,Clear Near,,,,,Yes,Yes,Western Pacific,No,No,,,,Dropsonde,1007.6,7.4,938.2,639.3,578,4712.6,515.1,5631.9,,,,88.3,60.1,,,385.7,,,-0.7,947.3,,,,,202.5,,,-19.2,911.4,,,,,5.3,267.4,12.82,338.7,,,,,,,,5631.89,499.7,,
20190904,34903,5,Isolated,Weakening,N/A,17.4,83.8,7.15,119.76,2,6.97,118.07,5,3,Not associated with any TIMPS ID,N/A,Clear Near,,,,,No,No,Western Pacific,No,No,,,,Dropsonde,1005.6,12.8,950.1,516.7,573.9,4759.2,473.9,6282,,,,88.3,59.2,,,433.3,,,,951.1,,,,,,,,,,,,,,1.04,19.1,,,,,,,,,,6282.01,501.9,,
20190904,50619,6,Isolated,Mature,N/A,23.4,81.6,7.52,121.43,5,7.3,119.92,7,2,Not associated with any TIMPS ID,N/A,Clear Near,,,,,Yes,Yes,Western Pacific,No,No,,,,Dropsonde,1006.2,5,915,842.5,,,581.5,4652.6,,,,88.6,,,,,,,,,,,,,,,,,,,,,,4.12,248.5,,,,,,,,,,4652.64,499.1,,
20190904,61736,7,Isolated,Mature,N/A,20,89,8.67,121.2,6,8.65,119.89,8,2,Not associated with any TIMPS ID,N/A,Clear Near,,,,,Yes,Yes,Western Pacific,No,No,,,,Dropsonde,1005.6,7.8,926.2,735.4,,,627.5,4034.2,,,,92.3,,,,,,,,,,,,,,,,,,,,,,4.25,322,,,,,,,,,,4034.15,500.2,,
